U-mop 手壓式旋轉拖把 適用好神拖,2017-06-05 08:59:23.852912,珊瑚絨除塵去汙布,99,http://seller.pcstore.com.tw/S199846877/C1074655209.htm,購物滿599 元(含)以上免運費，未滿 599 元者自付運費，7-11純取貨60元、7-11取貨付款60元,
遨遊飛翔,2017-06-05 08:59:24.159640,日本P&G; ARIEL GEL BALL 3D洗衣膠球(補充包) 抗菌防臭/自然花香/淨白消臭/陽光香氛,110,http://seller.pcstore.com.tw/S142062663/C1039136489.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配70元、郵局70元、7-11純取貨70元、7-11取貨付款70元,
美國/日本GONESH綜合館,2017-06-05 08:59:24.297109,美國GONESH春之薄霧精油香氛袋,99,http://www.pcstore.com.tw/bbco/M09834192.htm,,
【淨の伊】水垢剋星,2017-06-05 08:59:25.185776,【淨ソ伊】水垢剋星  去污清潔劑 750g *4入(附噴頭), 元,http://www.pcstore.com.tw/uenature/M22541547.htm,,
衛浴用品,2017-06-05 08:59:25.226681,夢想街20號∼芙蓉超柔軟抽取式紙巾(350抽X30包)/箱~整箱販售,280,http://www.pcstore.com.tw/chainlink/M17697665.htm,,
多琳好貨屋,2017-06-05 08:59:25.241952,車用垃圾袋多功能收納袋，3捲1組優惠價149元,149,http://seller.pcstore.com.tw/S121381267/C1089599600.htm,購物滿1000 元(含)以上免運費，未滿 1000 元者自付運費，宅配100元、郵局80元、7-11取貨付款60元,
,2017-06-05 08:59:25.262946,3M 水垢鏽斑清潔劑946ml 對付特別水垢皂垢鏽斑 掃除最佳幫手,280,http://www.pcstore.com.tw/87st0res/M19251254.htm,,
GONESH芳香膠/芳香罐,2017-06-05 08:59:25.546747,日本GONESH#8春之薄霧芳香大碟(180g),360,http://www.pcstore.com.tw/bbco/M18788969.htm,,
日本清潔用品  批發 團購,2017-06-05 08:59:26.326992,限時>>現貨>>日本P&G; 洗衣球 洗衣膠球  補充包,109,http://seller.pcstore.com.tw/S101526767/C1091708561.htm,購物滿5200 元(含)以上免運費，未滿 5200 元者自付運費，宅配58元、7-11取貨付款60元,
U-mop 手壓式旋轉拖把 適用好神拖,2017-06-05 08:59:26.437679,1柄2刷頭 【替換式長柄三角清潔刷】  居家、衛浴、廚房、磁磚、縫隙,88,http://seller.pcstore.com.tw/S199846877/C1074655207.htm,購物滿599 元(含)以上免運費，未滿 599 元者自付運費，7-11純取貨60元、7-11取貨付款60元,
白鼠尾草/香草專區,2017-06-05 08:59:26.848443,散裝加州白鼠尾草 ( White Sage)(1/4英鎊，約113公克),330,http://www.pcstore.com.tw/saintgm/M25119360.htm,,
遨遊飛翔,2017-06-05 08:59:27.408060,日本P&G; ARIEL GEL BALL 3D洗衣膠球(盒裝) 抗菌防臭/自然花香/淨白消臭/陽光香氛 洗衣球,120,http://seller.pcstore.com.tw/S142062663/C1039136488.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配70元、郵局70元、7-11純取貨70元、7-11取貨付款70元,
五月手作行~小蘇打粉，過碳酸鈉,2017-06-05 08:59:27.706578,一公斤 過碳酸鈉  拉鏈袋包分裝 韓國 清洗洗衣機 彩色衣物漂白 氧系漂白劑 去污粉 大掃除  1公斤 橘子工坊原料,45,http://seller.pcstore.com.tw/S126344027/C1085629111.htm,每筆訂單運費，宅配80元、7-11純取貨60元、7-11取貨付款60元,
日本GONESH,2017-06-05 08:59:27.786723,日本GONESH空氣芳香罐(液體)-No.8春之薄霧,309,http://www.pcstore.com.tw/bbco/M08840857.htm,,
GONESH精油線香,2017-06-05 08:59:27.917231,美國GONESH#8春之薄霧精油線香超值包(100枝入),299,http://www.pcstore.com.tw/bbco/M09840048.htm,,
大捲筒式衛生紙,2017-06-05 08:59:27.996345,紙多麗商用大捲筒衛生紙(咖)~免運喔~,439,http://www.pcstore.com.tw/newsair/M09840772.htm,,
$499 ~ $599,2017-06-05 08:59:28.085836,立得雅三折擦手紙~免運喔~,399,http://www.pcstore.com.tw/newsair/M09841195.htm,,
